start,end,program_name,description,energy_note,config,calendar,tags,primary_class,all_flags,ambiguous,url
2018-01-25T11:00:00-08:00,2018-01-25T21:00:00-08:00,"LS65 Turner, Two bunch Fresh Slice, 930 eV",Deliver to TXI,,,NC-TXI,,two_bunch,two_bunch;fresh_slice,True,https://www.google.com/calendar/event?eid=NTZnb211bmJpcjAzdXY5ODUyY3Q5cThzZm5fMjAxODAxMjVUMTcwMDAwWiBhZzkwdG42NXRrMTY5a2dwa3Q4aTcyODZuc0Bn
2021-07-06T05:00:00-07:00,2021-07-06T17:00:00-07:00,LV91 Roy,Deliver to ChemRIXS,"0.7, 1.4, 7, 14, 21, 28 ns spacing",707 eV two bunches,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MGszb3A1bTQxazdrNTRuNjBhdDV1ZWczZDAgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-08T09:00:00-07:00,2021-07-08T21:00:00-07:00,LV91 Roy,Deliver to ChemRIXS,"6.5 GeV, 0.35-50 ns spacing",707 eV two bunches,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=NWp1Z2pkY3Zsdmg4c2c2dDlvMWdmMWlhM3EgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-08T21:00:00-07:00,2021-07-09T09:00:00-07:00,LV91 Roy,Deliver to ChemRIXS,"6.5 GeV, 0.35-50 ns spacing",707 eV Two Bunch,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MWU5dGhnbHFoNnFnZzFidXZyaDE2OXRoaDAgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-10T09:00:00-07:00,2021-07-10T21:00:00-07:00,LV91 Roy,Deliver to ChemRIXS,"6.5 GeV, 0.35-50 ns spacing",707 eV Two Bunches,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MTQyaGRucW9uMXA3Z2h0OWkxNWhqbXI5b24gcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-10T21:00:00-07:00,2021-07-11T09:00:00-07:00,LV91 Roy,Deliver to ChemRIXS,"6.5 GeV, 0.35-50 ns spacing",707 eV Two Bunches,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MTFqdmhlaTk4dTFmNmlzMnZvODdodGhyN28gcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-17T07:30:00-07:00,2021-07-17T19:30:00-07:00,LV52 Esposito,Deliver to ChemRIXS,"6.5 GeV, 14 ns spacing to start",707 eV Two Bunch,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=M3Q1cW80OHY2YWdqdW5mc2I4ODdia2Q5ZXAgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-18T09:00:00-07:00,2021-07-18T21:00:00-07:00,LV52 Esposito,Deliver to ChemRIXS,"6.5 GeV, 7 ns spacing to start",707 eV Two Bunch,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=NGk4b2YwbHF0YTVxb3BvcGhpOW0xcDZ2MDEgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-18T21:00:00-07:00,2021-07-19T09:00:00-07:00,LV52 Esposito,Deliver to ChemRIXS,"6.5 GeV, 0.35  to multiple ns spacing",707 eV Two Bunch,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=NGNjYWphMW8ybmZtY20ycTA5ODJua2EzNmwgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-21T10:30:00-07:00,2021-07-21T22:30:00-07:00,LV52 Esposito,Deliver to ChemRIXS,"6.5 GeV, 0.35  to multiple ns spacing",707 eV Two Bunch,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=MGUzOWQyaGNhbmc1MTg4MzhwZWUxNmc2bjggcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2021-07-21T22:30:00-07:00,2021-07-22T10:30:00-07:00,LV52 Esposito,Deliver to ChemRIXS,"6.5 GeV, 0.35  to multiple ns spacing",707 eV Two Bunch,NC-ChemRIXS,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=N29uYWlmcmhpMDc5cmVwbWhsZWw3cGpwM3YgcmY0MDJiOHRzMDJ1bHRmamM2Mmw4Y2xhbGtAZw
2024-11-29T08:00:00-08:00,2024-11-29T16:00:00-08:00,FEL vs LPS/two bunch?,FEL vs LPS/two bunch?,,,SC-MD-FEES,,two_bunch,two_bunch,False,https://www.google.com/calendar/event?eid=Mm1xcGMzbmtya2x2anZnMmJqZW84OWxobTggNGVkZmNjOWI5NTkwMzQ5MDlhYzkwMzU5MTc0ODIzNzBjMDA3YjI4ZGNlYWNiNmVkZDljOTIyM2YwZjk0NGE2ZUBn
